DIN-Bahnhof|||||||4.33|4.48|5.03|5.18|5.33|5.48||6.03||6.18||6.33||6.48||7.03||7.18||7.33||7.48||8.03||8.18||8.33||8.48||9.03||9.18||9.33||9.48||10.03||10.18||10.33||10.48||11.03||11.18||11.33||11.48||12.03||12.18||12.33||12.48||13.03||13.18||13.33||13.48||14.03||14.18||14.33||14.48||15.03||15.18||15.33||15.48||16.03||16.18||16.33||16.48||17.03||17.18||17.33||17.48||18.03||18.18||18.33||18.48||19.03||19.18||19.33||19.47|19.52||||20.22||20.52|21.22|21.52|22.22|22.52|23.22|23.52|0.22|
Theodor-Heuss-Straße||||17||49|04|19|34|49|04|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|17|22|27|33|48|52|11|22|52|22|52|22|52|22|52|55
Landschaftspark Nord||||18||50|05|20|35|50|05|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|18|23|28|34|49|53|12|23|53|23|53|23|53|23|53|56
Voßstraße||||19||51|06|21|36|51|06|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|19|24|29|35|50|54|13|24|54|24|54|24|54|24|54|57
Emilstraße||||21||53|08|23|38|53|08|23|31|38|46|53|7.01|08|16|23|31|38|46|53|8.01|08|16|23|31|38|46|53|9.01|08|16|23|31|38|46|53|10.01|08|16|23|31|38|46|53|11.01|08|16|23|31|38|46|53|12.01|08|16|23|31|38|46|53|13.01|08|16|23|31|38|46|53|14.01|08|16|23|31|38|46|53|15.01|08|16|23|31|38|46|53|16.01|08|16|23|31|38|46|53|17.01|08|16|23|31|38|46|53|18.01|08|16|23|31|38|46|53|19.01|08|16|23|31|38|46|53|20.01|08|16|21|26|31|37|52|56|15|26|56|26|56|26|56|26|56|59
Meiderich Bahnhof|||4.08|23|4.40|55|10|25|40|55|10|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|23|28|33|39|54|58|17|28|58|28|58|28|58|28|0.58|1.01
Auf dem Damm|||10|25|41|56|11|26|41|56|11|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|24|29|34|40|55|59|18|29|59|29|59|29|59|29||
Duissern|||15|30|45|5.00|15|30|45|6.00|15|30|38|45|53|7.00|08|15|23|30|38|45|53|8.00|08|15|23|30|38|45|53|9.00|08|15|23|30|38|45|53|10.00|08|15|23|30|38|45|53|11.00|08|15|23|30|38|45|53|12.00|08|15|23|30|38|45|53|13.00|08|15|23|30|38|45|53|14.00|08|15|23|30|38|45|53|15.00|08|15|23|30|38|45|53|16.00|08|15|23|30|38|45|53|17.00|08|15|23|30|38|45|53|18.00|08|15|23|30|38|45|53|19.00|08|15|23|30|38|45|53|20.00|08|15|23|28|33|38|44|59|21.03|22|33|22.03|33|23.03|33|0.03|33||
Hauptbahnhof|||4.17|4.32|4.47|5.02|5.17|5.32|5.47|6.02|6.17|6.32|6.40|6.47|6.55|7.02|7.10|7.17|7.25|7.32|7.40|7.47|7.55|8.02|8.10|8.17|8.25|8.32|8.40|8.47|8.55|9.02|9.10|9.17|9.25|9.32|9.40|9.47|9.55|10.02|10.10|10.17|10.25|10.32|10.40|10.47|10.55|11.02|11.10|11.17|11.25|11.32|11.40|11.47|12.55|12.02|12.10|12.17|12.25|12.32|12.40|12.47|12.55|13.02|13.10|13.17|13.25|13.32|13.40|13.47|13.55|14.02|14.10|14.17|14.25|14.32|14.40|14.47|14.55|15.02|15.10|15.17|15.25|15.32|15.40|15.47|15.55|16.02|16.10|16.17|16.25|16.32|16.40|16.47|16.55|17.02|17.10|17.17|17.25|17.32|17.40|17.47|17.55|18.02|18.10|18.17|18.25|18.32|18.40|18.47|18.55|19.02|19.10|19.17|19.25|19.32|19.40|19.47|19.55|20.02|20.10|20.17|20.25|20.30|20.35|20.40|20.46|21.01|21.05|21.24|21.35|22.05|22.35|23.05|23.35|0.05|0.35||
König-Heinrich-Platz|||4.19|4.34|4.49|5.04|5.19|5.34|5.49|6.04|6.19|6.34|6.42|6.49|6.57|7.04|7.12|7.19|7.27|7.34|7.42|7.49|7.57|8.04|8.12|8.19|8.27|8.34|8.42|8.49|8.57|9.04|9.12|9.19|9.27|9.34|9.42|9.49|9.57|10.04|10.12|10.19|10.27|10.34|10.42|10.49|10.57|11.04|11.12|11.19|11.27|11.34|11.42|11.49|12.57|12.04|12.12|12.19|12.27|12.34|12.42|12.49|12.57|13.04|13.12|13.19|13.27|13.34|13.42|13.49|13.57|14.04|14.12|14.19|14.27|14.34|14.42|14.49|14.57|15.04|15.12|15.19|15.27|15.34|15.42|15.49|15.57|16.04|16.12|16.19|16.27|16.34|16.42|16.49|16.57|17.04|17.12|17.19|17.27|17.34|17.42|17.49|17.57|18.04|18.12|18.19|18.27|18.34|18.42|18.49|18.57|19.04|19.12|19.19|19.27|19.34|19.42|19.49|19.57|20.04|20.12|20.19|20.27|20.32|20.37|20.42|20.48|21.03|21.07|21.26|21.37|22.07|22.37|23.07|23.37|0.07|0.37||
Steinsche Gasse|||20|35|50|05|20|35|50|05|20|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|33|38|43|49|04|08|27|38|08|38|08|38|08|38||
